Data Set 1:Time(s),Data Set 1:Absorbance,FT:Time(s),FT:Absorbance,FT_redo:Time(s),FT_redo:Absorbance,E2:Time(s),E2:Absorbance,E1:Time(s),E1:Absorbance,Data Set 6:Time(s),Data Set 6:Absorbance,Data Set 7:Time(s),Data Set 7:Absorbance
0,0.21372200757703125,0,-0.010976609180874924,0,-0.011215459620960877,0,-0.011415759215081339,0,-0.011158332419580697,0,-0.010853592512494153,0,-0.010471356351794053
2,0.25241922255155014,2,0.21304715345915085,2,0.19194698978894548,2,-0.01088092200552021,2,0.22649538656333607,2,-0.011030753628694184,2,-0.010561400996254133
4,0.25226058164080578,4,0.2132392422301253,4,0.24696705299727023,4,-0.011249301594813826,4,0.21882505380774955,4,0.24669054853080746,4,0.28357721185923029
6,0.25591641937593645,6,0.22717665376904955,6,0.24787403629499663,6,-0.011139791841326463,6,0.21409843101779263,6,0.23821271245184736,6,0.24509925863816062
8,0.25565950339193699,8,0.23471400080945568,8,0.26458001812522702,8,-0.010707196999198282,8,0.22581221949313737,8,0.2417452076640311,8,0.25029399446920553
10,0.25847885198974963,10,0.25215889576627293,10,0.28834353865721662,10,0.21814257701926681,10,0.22849875487521554,10,0.24076146752184846,10,0.21623700059961476
12,0.25947797869747152,12,0.26913698551401993,12,0.31458456587101175,12,0.21463219345225296,12,0.22971420368708578,12,0.24108195004897548,12,0.33154506344083823
14,0.25459309844645145,14,0.28109875661131073,14,0.33487534413085557,14,0.21371895797399226,14,0.23190606234611424,14,0.24127964586074993,14,0.24125758950646486
16,0.25875288604475272,16,0.29489958937734206,16,0.34919737010341406,16,0.19894609584706446,16,0.23491290021310718,16,0.24385736306278954,16,0.28047994523069053
18,0.26176270695888082,18,0.29813093889362396,18,0.37214473160606171,18,0.19639264297177997,18,0.22857829542713035,18,0.24270817358441396,18,0.23063076492030049
20,0.26232304068910089,20,0.30826556329222904,20,0.38039735016637738,20,0.19991672409856415,20,0.22103726598112372,20,0.23953582870817974,20,0.22809102343553295
