,Date,Regular,Diesel,x-value
0,2022-08-29,3.85,5.06,0.0
1,2022-08-30,3.45,4.48,0.14285714285714285
2,2022-08-31,3.54,5.07,0.2857142857142857
3,2022-09-01,3.47,4.35,0.42857142857142855
4,2022-09-02,3.57,4.57,0.5714285714285714
5,2022-09-03,3.77,3.84,0.7142857142857143
6,2022-09-04,3.66,4.01,0.8571428571428571
7,2022-09-05,3.79,5.07,1.0
8,2022-09-06,3.15,3.9,1.1428571428571428
9,2022-09-07,3.54,4.03,1.2857142857142858
10,2022-09-08,3.81,3.84,1.4285714285714286
11,2022-09-09,3.76,3.85,1.5714285714285714
12,2022-09-10,3.44,4.77,1.7142857142857142
13,2022-09-11,3.67,3.86,1.8571428571428572
14,2022-09-12,3.72,5.01,2.0
15,2022-09-13,3.59,4.95,2.142857142857143
16,2022-09-14,3.66,4.55,2.2857142857142856
17,2022-09-15,3.14,3.75,2.4285714285714284
18,2022-09-16,3.28,4.24,2.5714285714285716
19,2022-09-17,3.2,3.79,2.7142857142857144
20,2022-09-18,3.44,4.24,2.857142857142857
21,2022-09-19,3.68,4.95,3.0
22,2022-09-20,3.85,5.36,3.142857142857143
23,2022-09-21,3.45,5.33,3.2857142857142856
24,2022-09-22,3.55,4.1,3.4285714285714284
25,2022-09-23,3.8,3.87,3.5714285714285716
26,2022-09-24,3.82,4.58,3.7142857142857144
27,2022-09-25,3.58,5.22,3.857142857142857
28,2022-09-26,3.73,4.9,4.0
29,2022-09-27,3.7,4.02,4.142857142857143
30,2022-09-28,3.7,4.34,4.285714285714286
31,2022-09-29,3.31,5.01,4.428571428571429
32,2022-09-30,3.76,4.0,4.571428571428571
33,2022-10-01,3.63,4.95,4.714285714285714
34,2022-10-02,3.79,4.38,4.857142857142857
35,2022-10-03,3.8,4.87,5.0
36,2022-10-04,3.68,4.17,5.142857142857143
37,2022-10-05,3.62,3.84,5.285714285714286
38,2022-10-06,3.57,3.79,5.428571428571429
39,2022-10-07,3.47,4.68,5.571428571428571
40,2022-10-08,3.35,5.3,5.714285714285714
41,2022-10-09,3.59,4.07,5.857142857142857
42,2022-10-10,3.92,5.06,6.0
43,2022-10-11,3.81,4.04,6.142857142857143
44,2022-10-12,3.31,4.24,6.285714285714286
45,2022-10-13,3.54,4.29,6.428571428571429
46,2022-10-14,3.44,3.84,6.571428571428571
47,2022-10-15,3.58,4.77,6.714285714285714
48,2022-10-16,3.59,3.95,6.857142857142857
49,2022-10-17,3.89,5.28,7.0
50,2022-10-18,3.22,4.62,7.142857142857143
51,2022-10-19,3.92,3.77,7.285714285714286
52,2022-10-20,3.41,4.9,7.428571428571429
53,2022-10-21,3.51,4.05,7.571428571428571
54,2022-10-22,3.57,4.57,7.714285714285714
55,2022-10-23,3.66,4.19,7.857142857142857
56,2022-10-24,3.79,5.33,8.0
57,2022-10-25,3.4,3.93,8.142857142857142
58,2022-10-26,3.77,4.58,8.285714285714286
59,2022-10-27,3.31,3.93,8.428571428571429
60,2022-10-28,3.73,3.91,8.571428571428571
61,2022-10-29,3.54,4.68,8.714285714285714
62,2022-10-30,3.54,3.7,8.857142857142858
63,2022-10-31,3.76,5.31,9.0
64,2022-11-01,3.2,4.1,9.142857142857142
65,2022-11-02,3.85,3.84,9.285714285714286
66,2022-11-03,3.49,3.79,9.428571428571429
67,2022-11-04,3.49,4.47,9.571428571428571
68,2022-11-05,3.31,4.35,9.714285714285714
69,2022-11-06,3.5,4.38,9.857142857142858
70,2022-11-07,3.8,5.34,10.0
71,2022-11-08,3.66,4.07,10.142857142857142
72,2022-11-09,3.24,4.57,10.285714285714286
73,2022-11-10,3.67,5.08,10.428571428571429
74,2022-11-11,3.66,3.75,10.571428571428571
75,2022-11-12,3.31,5.08,10.714285714285714
76,2022-11-13,3.6,4.51,10.857142857142858
77,2022-11-14,3.77,5.36,11.0
78,2022-11-15,3.81,3.86,11.142857142857142
79,2022-11-16,3.62,4.2,11.285714285714286
80,2022-11-17,3.6,4.07,11.428571428571429
81,2022-11-18,3.44,3.97,11.571428571428571
82,2022-11-19,3.53,3.87,11.714285714285714
83,2022-11-20,3.1,4.58,11.857142857142858
84,2022-11-21,3.66,5.3,12.0
85,2022-11-22,3.58,4.1,12.142857142857142
86,2022-11-23,3.47,4.47,12.285714285714286
87,2022-11-24,3.54,4.28,12.428571428571429
88,2022-11-25,3.44,5.34,12.571428571428571
89,2022-11-26,3.66,3.92,12.714285714285714
90,2022-11-27,3.26,4.41,12.857142857142858
91,2022-11-28,3.55,5.22,13.0
92,2022-11-29,3.15,3.75,13.142857142857142
93,2022-11-30,3.83,3.84,13.285714285714286
94,2022-12-01,3.15,4.2,13.428571428571429
95,2022-12-02,3.11,4.05,13.571428571428571
96,2022-12-03,3.52,3.85,13.714285714285714
97,2022-12-04,3.07,5.36,13.857142857142858
98,2022-12-05,3.4,5.08,14.0
99,2022-12-06,3.47,5.06,14.142857142857142
100,2022-12-07,3.35,4.95,14.285714285714286
101,2022-12-08,3.76,4.1,14.428571428571429
102,2022-12-09,3.11,3.73,14.571428571428571
103,2022-12-10,3.66,4.58,14.714285714285714
104,2022-12-11,3.52,3.91,14.857142857142858
105,2022-12-12,3.26,4.92,15.0
106,2022-12-13,3.42,4.29,15.142857142857142
107,2022-12-14,3.55,3.8,15.285714285714286
108,2022-12-15,3.51,4.49,15.428571428571429
109,2022-12-16,3.57,4.6,15.571428571428571
110,2022-12-17,3.45,4.07,15.714285714285714
111,2022-12-18,3.24,4.01,15.857142857142858
112,2022-12-19,3.14,4.77,16.0
113,2022-12-20,3.37,5.36,16.142857142857142
114,2022-12-21,3.88,4.38,16.285714285714285
115,2022-12-22,3.55,4.57,16.428571428571427
116,2022-12-23,3.44,4.0,16.571428571428573
117,2022-12-24,3.81,3.84,16.714285714285715
118,2022-12-25,3.53,4.87,16.857142857142858
119,2022-12-26,3.1,4.68,17.0
120,2022-12-27,3.25,3.9,17.142857142857142
121,2022-12-28,3.81,3.88,17.285714285714285
122,2022-12-29,3.57,4.07,17.428571428571427
123,2022-12-30,3.55,4.35,17.571428571428573
124,2022-12-31,3.47,5.28,17.714285714285715
125,2023-01-01,3.41,4.2,17.857142857142858
126,2023-01-02,3.22,4.68,18.0
127,2023-01-03,3.4,4.31,18.142857142857142
128,2023-01-04,3.51,4.49,18.285714285714285
129,2023-01-05,3.4,4.34,18.428571428571427
130,2023-01-06,3.08,4.01,18.571428571428573
131,2023-01-07,3.85,4.24,18.714285714285715
132,2023-01-08,3.85,5.01,18.857142857142858
133,2023-01-09,3.28,4.65,19.0
134,2023-01-10,3.8,4.58,19.142857142857142
135,2023-01-11,3.24,4.02,19.285714285714285
136,2023-01-12,3.2,4.31,19.428571428571427
137,2023-01-13,3.51,3.81,19.571428571428573
138,2023-01-14,3.28,4.34,19.714285714285715
139,2023-01-15,3.68,3.92,19.857142857142858
140,2023-01-16,3.31,4.6,20.0
141,2023-01-17,3.52,3.86,20.142857142857142
142,2023-01-18,3.73,4.51,20.285714285714285
143,2023-01-19,3.76,4.17,20.428571428571427
144,2023-01-20,3.47,3.79,20.571428571428573
145,2023-01-21,3.31,3.8,20.714285714285715
146,2023-01-22,3.47,3.8,20.857142857142858
147,2023-01-23,3.42,4.62,21.0
148,2023-01-24,3.15,3.79,21.142857142857142
149,2023-01-25,3.59,3.91,21.285714285714285
150,2023-01-26,3.6,3.92,21.428571428571427
151,2023-01-27,3.25,3.95,21.571428571428573
152,2023-01-28,3.63,3.84,21.714285714285715
153,2023-01-29,3.8,4.35,21.857142857142858
154,2023-01-30,3.51,4.68,22.0
155,2023-01-31,3.63,3.87,22.142857142857142
156,2023-02-01,3.42,4.17,22.285714285714285
157,2023-02-02,3.68,4.11,22.428571428571427
158,2023-02-03,3.54,5.06,22.571428571428573
159,2023-02-04,3.45,5.34,22.714285714285715
160,2023-02-05,3.28,4.65,22.857142857142858
